Mature Market ERP +,0.0411,"Updated July 1, 2024",,,,
Changing this number will update all your country equity risk premiums.,,,,,,
,,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,GDP (in $ millions)
Singapore,Aaa,0,=$B$1+E158,0,0.17,466788.4267919664
Slovakia,A2,0.007962050582692785,=$B$1+E159,0.01033511314097619,0.21,115461.71168896543
Slovenia,A3,0.011279571658814777,=$B$1+E160,0.014641410283049603,0.19,60063.47546634459
Solomon Islands,Caa1,0.07055261488552772,=$B$1+E161,0.09158058588809456,0.3,1597.2043406290234
Somalia,NR,0.1129063006240185,=$B$1+E162,0.14655764606856514,0.2915,10419.541202038166
South Africa,Ba2,0.028309513182907677,=$B$1+E163,0.03674706894569312,0.27,405270.8500993871
South Korea,Aa2,0.00464452950657079,=$B$1+E164,0.006028815998902777,0.25,1673916.46902656
Spain,Baa1,0.015039428878419702,=$B$1+E165,0.019521880377399468,0.25,1417800.4662626514
Sri Lanka,Ca,0.11290630062401852,=$B$1+E166,0.14655764606856517,0.24,74403.57836343547
St. Maarten,Ba2,0.028309513182907677,=$B$1+E167,0.03674706894569312,0.2853,11900
St. Vincent & the Grenadines,B3,0.061152971836515406,=$B$1+E168,0.0793794106522199,0.2853,8100
Sudan,NR,0.17499999999999996,=$B$1+E169,0.22715816495844782,0.35,51662.24177506288
Suriname,Caa3,0.09410701452599389,=$B$1+E170,0.12215529559681582,0.36,3620.987993326366
Swaziland,B3,0.061152971836515406,=$B$1+E171,0.0793794106522199,0.275,4790.922065610098
Sweden,Aaa,0,=$B$1+E172,0,0.20600000000000002,591188.5947765514
Switzerland,Aaa,0,=$B$1+E173,0,0.146,818426.5502064498
Syria,NR,0.17499999999999996,=$B$1+E174,0.22715816495844782,0.28,8969.512933388261
Taiwan,Aa3,0.005639785829407389,=$B$1+E175,0.007320705141524802,0.2,761690
Tajikistan,B3,0.061152971836515406,=$B$1+E176,0.0793794106522199,0.18,10492.12338779312
Tanzania,B1,0.04235368573849078,=$B$1+E177,0.05497706018047056,0.3,75732.31166603902
Thailand,Baa1,0.015039428878419702,=$B$1+E178,0.019521880377399468,0.2,495423.3430496215
Togo,B3,0.061152971836515406,=$B$1+E179,0.0793794106522199,0.2686,8341.225241456936
Trinidad & Tobago,Ba2,0.032779436317051,=$B$1+E180,0.0440044129483385,0.3,30053.575132141956
Tunisia,Caa2,0.08470737147698156,=$B$1+E181,0.10995412036094113,0.15,46303.55244935424
Turkey,B3,0.061152971836515406,=$B$1+E182,0.0793794106522199,0.25,907118.4359526879
Turks & Caicos Islands,Baa1,0.01741407554343334,=$B$1+E183,0.02337734437880483,0,1138.8088811
Uganda,B3,0.061152971836515406,=$B$1+E184,0.0793794106522199,0.3,45567.30460847645
Ukraine,Ca,0.11290630062401852,=$B$1+E185,0.14655764606856517,0.18,160502.73725104667
United Arab Emirates,Aa2,0.00464452950657079,=$B$1+E186,0.006028815998902777,0.25,507063.9682733125
United Kingdom,Aa3,0.005639785829407389,=$B$1+E187,0.007320705141524802,0.25,3089072.722400136
United States,Aaa,0,=$B$1+E188,0,0.25,25439700
Uruguay,Baa1,0.015039428878419702,=$B$1+E189,0.019521880377399468,0.25,71177.14619749512
Uzbekistan,Ba3,0.03383871497644433,=$B$1+E190,0.0439242308491488,0.15,80391.8538874049
Venezuela,C,0.175,=$B$1+E191,0.22715816495844784,0.34,98400
Vietnam,Ba2,0.028309513182907677,=$B$1+E192,0.03674706894569312,0.2,408802
Yemen,NR,0.1129063006240185,=$B$1+E193,0.14655764606856514,0.2,21610
Zambia,Caa2,0.08470737147698156,=$B$1+E194,0.10995412036094113,0.35,29163.78213834149
Zimbabwe,NR,0.08470737147698154,=$B$1+E195,0.10995412036094111,0.25,27366.627153085246
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Region,ERP,Default Spread,Tax Rate,CRP,Total GDP (in $ millions),
Africa,=$B$1+E201,0.05834716553752646,0.274219145008639,0.07573734316589315,2508220.6789325164,
Asia,=$B$1+E202,0.010802216663582305,0.2574084360751292,0.014021781227330991,32948678.067337982,
Australia & New Zealand,=$B$1+E203,0.000030266287074794293,0.29743620926523207,0.000039287052754376346,1942472.3523971008,
Caribbean,=$B$1+E204,0.05711650444544706,0.25228018689443577,0.0741398876495359,869389.478915383,
Central and South America,=$B$1+E205,0.03596122460619485,0.3155395256169791,0.046679347378296036,5601817.833264855,
Eastern Europe & Russia,=$B$1+E206,0.025972276238780637,0.18308310877509817,0.03371322634397318,5010073.2660032045,
Middle East,=$B$1+E207,0.014034485918845662,0.18937682936327277,0.01821741752834375,3382577.6565681733,
North America,=$B$1+E208,0,0.25108814145744907,0,27577639.22007491,
Western Europe,=$B$1+E209,0.008683226144580272,0.24775219614916172,0.01127123266812613,20250228.834865417,
Global,=$B$1+E210,0.010700411728220074,0.2524583457539919,0.013889633671327575,100091097.38835955,
