,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Insurance (Life),137,0.0212,0.0601,0.145,0.02086313781592752,0.1194070115488869,0.2257448261899514,0.7386022434289702,1.377923053215087,2.985028553789165,0.07916576532620573,0.08573160956513162,0.1263594999187625,0.8309393851302918,0.005688608442086142,0.1027568922305764,0.4105247564558776,0.0910092324605526,0.427281744363936
Insurance (Prop/Cas.),240,0.0452,0.0754,0.119,0.06262670232696017,0.1299962337386428,0.2025558668762386,0.9505813953488372,1.620302767282626,3.022871664548921,0.0743919373594396,0.08657743233151297,0.1228894994714055,0.4868583160248079,0.00111905804505425,0.0290588882773803,0.1395905942178136,0.03089834064466908,0.1547687035979441
Investments & Asset Management,1291,0.0314,0.0906,0.178,0,0.2058823529411765,0.6680672268907564,0.007268920131618307,0.1262206148282098,0.647498132935026,0.06792836558116531,0.07059870831169367,0.07883570984525384,0.6326550754770353,0,0.01248581157775255,0.1418789221456607,0.009400720677596503,0.1041009463722397
Machinery,1548,0.0269,0.07620000000000002,0.16,0.002226134585289515,0.06604477611940299,0.1246973365617434,0.8152492668621703,1.288097297268124,1.935312767951505,0.09366150029588337,0.09848919641326509,0.1002093455137177,1.119459631634788,0.01513374002815579,0.103601780655605,0.2762376237623763,0.09326991556310313,0.2458333333333333
Metals & Mining,1832,0.036,0.0971,0.186,-6.930091185410333,0.0078952608522501,0.0809137969840198,0,0,0.5641233909558031,0.08833757680388753,0.08841672207118731,0.09093837681668654,1.057260723515617,0,0.004775341871065769,0.1425389755011136,0.003813376662134828,0.1134593993325917
Office Equipment & Services,140,0.0138,0.0432,0.119,-0.00404040404040404,0.05318918918918919,0.09057301293900186,0.9883720930232558,1.597277822257806,2.655246414684942,0.0813714704251245,0.08609809573235228,0.09870421640455462,0.6894999176338221,0.01624865814384698,0.1452991452991453,0.3948103701070326,0,0
Oil/Gas (Integrated),36,-0.0518,-0.0146,0.005180000000000001,0.05897211353226313,0.1034195752825497,0.1719550539277706,0.8546252384846007,1.515300911624154,2.055161594828921,0.08482596862311181,0.09337023632206887,0.1120212489728603,0.8425873126575824,0.1057340989616319,0.3259299589026661,0.4708444648550989,0.105760780132343,0.3366779870330349
Oil/Gas (Production and Exploration),548,-0.00353,0.07190000000000002,0.208,-0.2791164658634538,0.1432333088736966,0.3492329149232915,0.09224759615384616,0.4237637105529143,0.7615305957698725,0.0858579353351075,0.08744674570503419,0.09449262015817608,0.9352540223211345,0,0.1134769645933109,0.3752849977200182,0.2992817331685361,0.4267425320056899
Oil/Gas Distribution,179,-0.0272,0.0449,0.119,0.02412436048799685,0.115933044017359,0.3135430038510912,0.3219327212681138,0.8292903080221145,1.962524654832347,0.07031265058164096,0.0752794528625867,0.08692579315054327,0.6786993461744923,0.08256880733944955,0.3124398331372339,0.5140845070422535,0.08250559784674974,0.3440615388583619
Oilfield Svcs/Equip.,437,-0.033,0.0428,0.118,0.006055045871559633,0.04103634044491367,0.1168976053011063,0.8614609571788415,1.708557535774593,3.268983657282683,0.07972369524710038,0.08614467254602473,0.09884752803170471,0.9115884610364846,0.05992949471210342,0.2096472666977118,0.5138665203319404,0.3349514563106796,0.4731300696837039
Packaging & Container,438,0.0138,0.05110000000000001,0.0864,0.01709796672828096,0.05626242544731611,0.09318024052651949,0.9564315352697095,1.39935414424112,1.855028180405952,0.07607341568994674,0.08549372239286479,0.09037369035116227,0.7482607359257706,0.05817174515235457,0.236328125,0.4414608827188899,0.23349736237184,0.5015295330990963
Paper/Forest Products,269,0.0183,0.0601,0.1,-0.01086271567891973,0.03466599190283401,0.08566666666666667,0.6273204715208283,1.032213993002873,1.501366709825924,0.07569721927793333,0.08134245921918297,0.09263150990262278,0.8510564832292156,0.1096634093376764,0.2993348115299335,0.5626549165277767,0.2171394085697043,0.4521004491920656
Power,492,-0.0106,0.0344,0.06709999999999999,0.04879310344827587,0.1160150519803559,0.2159285714285714,0.3745572386766147,0.6683804627249358,1.290661070304302,0.06541223442996474,0.06928404023640908,0.07876854031100314,0.6317382711508865,0.1358939442486383,0.389898349493376,0.6079070981210856,0.2732919254658385,0.5063546130461853
Precious Metals,823,0.111,0.219,0.358,-7.237762237762237,-0.002751722993751978,0.1880650994575045,0,0,0.2529085231483996,0.0903186106009605,0.09062491126523738,0.09062491126523738,1.14752317053801,0,0.002320185614849188,0.08417508417508418,0.3868421052631579,0.5883763685811745
Publishing & Newspapers,321,0.00888,0.0501,0.0784,-0.02698094282848545,0.0417458432304038,0.09598091392916132,0.7122111377699204,1.394521668029436,2.486029101644875,0.09275839413997658,0.09665236289230636,0.1110312878821443,0.7440703817964889,0.010144842549698,0.1092211280214861,0.3788998299672403,0.004542379433652266,0.08717346639272086
