Mature Market ERP +,0.0433,"Updated January 1, 2025",,,
Changing this number will update all your country equity risk premiums.,,,,,
,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate
Taiwan,Aa3,0.005936616662534093,=$B$1+E176,0.008003463771836711,0.2
Tajikistan,B3,0.06437154930159515,=$B$1+E177,0.0867826561926608,0.18
Tanzania,B1,0.04458282709314818,=$B$1+E178,0.06010444361987177,0.3
Thailand,Baa1,0.015830977766757577,=$B$1+E179,0.02134257005823122,0.2
Togo,B3,0.06437154930159515,=$B$1+E180,0.0867826561926608,0.2686
Trinidad &' Tobago,Ba2,0.029799487560955448,=$B$1+E181,0.04017424952137643,0.3
Tunisia,Caa2,0.08916565418629636,=$B$1+E182,0.12020888723974354,0.15
Turkey,B1,0.04458282709314818,=$B$1+E183,0.06010444361987177,0.25
Turks & Caicos Islands,Baa1,0.015830977766757577,=$B$1+E184,0.02134257005823122,0
Uganda,B3,0.06437154930159515,=$B$1+E185,0.0867826561926608,0.3
Ukraine,Ca,0.11884873749896685,=$B$1+E186,0.1602262060989271,0.18
United Arab Emirates,Aa2,0.0048889784279692525,=$B$1+E187,0.006591087812100819,0.25
United Kingdom,Aa3,0.005936616662534093,=$B$1+E188,0.008003463771836711,0.25
United States,Aaa,0,=$B$1+E189,0,0.25
Uruguay,Baa1,0.015830977766757577,=$B$1+E190,0.02134257005823122,0.25
Uzbekistan,Ba3,0.035619699975204554,=$B$1+E191,0.048020782631020255,0.15
Venezuela,C,0.175,=$B$1+E192,0.23592666323069683,0.34
Vietnam,Ba2,0.029799487560955448,=$B$1+E193,0.04017424952137643,0.2
Yemen,NR,0.11884873749896685,=$B$1+E194,0.1602262060989271,0.2
Zambia,Caa2,0.08916565418629636,=$B$1+E195,0.12020888723974354,0.35
Zimbabwe,NR,0.08916565418629635,=$B$1+E196,0.1202088872397435,0.35
,,,,,
,,,,,
,,,,,
Region,ERP,Weighted Average: Default Spreads,Tax Rate,Weighted Average: CRP,Total GDP (in $ millions)
Africa,=$B$1+E201,0.06163973704915901,0.274219145008639,0.08306516288511694,2508220.6789325164
Asia,=$B$1+E202,0.010708616059682126,0.2534417911673511,0.0154,32948678.067337982
Australia & New Zealand,=$B$1+E203,0.00003185924955241504,0.29743620926523207,0.000042933242096058726,1942472.3523971008
Caribbean,=$B$1+E204,0.06012263625836532,0.25228018689443577,0.08102073131656702,869389.478915383
Central and South America,=$B$1+E205,0.03576937686394985,0.3155395256169791,0.0482024949771207,5601817.833264855
Eastern Europe,=$B$1+E206,0.02521316281878702,0.1723057803112369,0.033977034566536855,5010073.2660032045
Middle East,=$B$1+E207,0.015572784754721281,0.18937682936327277,0.0209857466003489,3382577.6565681733
North America,=$B$1+E208,0,0.25108814145744907,0,27577639.22007491
Western Europe,=$B$1+E209,0.008274105096747005,0.24775219614916172,0.011150110634666366,20250228.834865417
Global,=$B$1+E210,0.010377275529176463,0.2522103140192217,0.0143,100091097.38835955
,,,,,
,,,,,
,ERP,Default Spread,Tax rate,CRP,
Africa & Mid East,=E214+$B$1,0.03526945867161192,0.22565253987565378,0.055600000000000004,
"Australia, NZ & Canada",=E215+$B$1,0.000015305485216481364,0.28058266212676913,0.000020625536113642873,
Latin America & Caribbean,=E216+$B$1,0.037059194817035325,0.31219579378380224,0.04993718559787203,
Japan,=E217+$B$1,0.0048889784279692525,0.25,0.00658834396287597,
US,=E218+$B$1,0,0.25,0,
Europe,=E219+$B$1,0.008274105096747005,0.24775219614916172,0.011150110634666359,
Emerging Markets,=E220+$B$1,0.01854688453505424,0.25317912344463717,0.024588776273373462,
"Small Asia (No India, China & Japan)",=E221+$B$1,0.012979483446303937,0.25517258432985945,0.01748982612878147,
India,=E222+$B$1,0.021767594429291676,0.3,0.029333817168043,
China,=E223+$B$1,0.006984254897098934,0.25,0.00941191994696567,
Global,=E224+$B$1,0.010377275529176463,0.2522103140192217,0.0143,
,,,,,
For other regional groupings,,,,,
,ERP,Default Spread,Tax rate,CRP,
EMEA,=E228+$B$1,0.013675707617689077,0.24333019223993782,0.018429262278108247,
